course,normalizedDifficulty
ARTHI   116AA,7.864086658461002
ARTHI   117B,6.646134092819359
ARTHI   117C,7.765163240582223
ARTHI   117F,5.4493078830117945
ARTHI   118AA,7.726198945236175
ARTHI   119B,5.59368477859695
ARTHI   119C,5.485335157860761
ARTHI   119D,5.55986931935144
ARTHI   119E,6.2120200957299065
ARTHI   119F,6.458376891408111
ARTHI   119G,7.133885043030363
ARTHI   120AA,5.81440261817822
ARTHI   120AZ,8.217478015003616
ARTHI   120BB,6.020238592918993
ARTHI   120CC,5.692572295330456
ARTHI   120CV,4.89420215293465
ARTHI   120ML,6.753768337584263
ARTHI   121A,5.141579579824562
ARTHI   121B,5.051027797733692
ARTHI   121C,5.735072207582563
ARTHI   121D,4.494932685969808
ARTHI   121E,4.54484870465879
ARTHI   127A,5.664156002709497
ARTHI   127B,6.321227571165452
ARTHI   130A,7.923590867668193
ARTHI   130B,7.366801159765608
ARTHI   130C,6.164813115164796
ARTHI   130D,5.98582883125173
ARTHI   130F,2.814700237225842
ARTHI   131CC,6.913906586432188
ARTHI   131CM,5.389180142663192
ARTHI   131MM,4.098033570559172
ARTHI   132A,8.08767032269592
ARTHI   132D,7.457862630388232
ARTHI   132I,10.0
ARTHI   132J,8.30439277670773
ARTHI   133CC,10.0
ARTHI   133DD,9.592478015003618
ARTHI   133EE,10.0
ARTHI   134A,5.255939553465154
ARTHI   134C,6.005613780232774
ARTHI   134D,5.974476957168117
ARTHI   134E,5.856756996702897
ARTHI   134F,7.265554938080542
ARTHI   134G,4.904700237225838
ARTHI   134H,4.544338538061766
ARTHI   134I,4.4826588935565885
ARTHI   134J,4.2068706251056085
ARTHI   134K,4.11496478749039
ARTHI   135AA,4.006168491194094
ARTHI   135BB,5.7353351578607565
ARTHI   135CA,2.342478015003617
ARTHI   136A,6.901282522277247
ARTHI   136B,6.361615611902841
ARTHI   136C,7.342701963060241
ARTHI   136D,7.194750742276344
ARTHI   136I,6.718716616652274
ARTHI   136J,7.642750123847154
ARTHI   136K,6.49367152433666
ARTHI   136L,7.509144681670283
ARTHI   136M,6.48120409155864
ARTHI   136O,5.095406680784395
ARTHI   136Q,6.372451489804677
ARTHI   136R,5.762478015003613
ARTHI   136V,7.977854771070027
ARTHI   136W,5.303660215156405
ARTHI   136X,5.5628797626592
ARTHI   136Y,5.919523192048791
ARTHI   137AA,9.611708784234384
ARTHI   137CC,8.768403940929542
ARTHI   137DD,8.06020984457755
ARTHI   137EE,6.181187692422971
ARTHI   137GA,8.206078303603906
ARTHI   137GG,4.467478015003616
ARTHI   138B,4.442366407860759
ARTHI   138C,5.147900452980045
ARTHI   138G,6.6114574016300605
ARTHI   139A,8.23657523722584
ARTHI   139AA,7.666802339327942
ARTHI   141A,3.560191554003296
ARTHI   141B,10.0
ARTHI   141D,7.461264938053456
ARTHI   141E,2.600296464976309
ARTHI   141F,2.553589126114728
ARTHI   141G,5.986694185384311
ARTHI   141H,4.36868769242297
ARTHI   141MH,5.932518348610397
ARTHI   142A,8.09480807697631
ARTHI   142AA,7.613311348336951
ARTHI   142B,7.603258053763305
ARTHI   142D,8.213203589716258
ARTHI   142E,7.074965937708932
ARTHI   143B,10.0
ARTHI   143E,2.396049443575045
ARTHI   143F,2.857183897356557
ARTHI   144A,7.188365460891063
ARTHI   144C,6.662954413605016
ARTHI   144D,8.336922459448061
ARTHI   148A,5.688322544037802
ARTHI   148C,3.9890297391415457
ARTHI   163,3.3424780150036177
ARTHI   185AA,4.675811348336951
ARTHI   185AE,5.667478015003617
ARTHI   185BB,4.146049443575048
ARTHI   185SA,10.0
ARTHI   185TC,7.703589126114729
ARTHI   186A,3.913906586432188
ARTHI   186B,5.838112935638537
ARTHI   186C,4.80081134833695
ARTHI   186D,6.524323253098856
ARTHI   186E,4.220255792781395
ARTHI   186F,4.919401091926698
ARTHI   186G,2.5746208721464745
ARTHI   186H,4.021564553465156
ARTHI   186K,4.88734980987541
ARTHI   186L,5.790394681670284
ARTHI   186N,3.998430395955999
ARTHI   186O,8.342478015003618
ARTHI   186P,5.509523469549071
ARTHI   186Q,6.430004275507819
ARTHI   186R,3.569750742276345
ARTHI   186RS,3.8261609986866
ARTHI   186RW,3.0765689240945258
ARTHI   186S,4.712848385373985
ARTHI   186SJ,5.69746885749446
ARTHI   186SR,5.1278519466275485
ARTHI   186SS,5.073827221352824
ARTHI   186SV,5.831033036371138
ARTHI   186T,4.7501619976876
